Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2021-05-24,G (Feb 2022),24.8500,24.8500,24.3500,24.8500,24.525,0,1,0,1
2021-05-25,G (Feb 2022),24.3000,24.6500,24.3000,24.6500,24.45,-0.075,32,0,20
2021-05-26,G (Feb 2022),24.2400,24.3500,24.2300,24.2300,24.25,-0.20,14,0,30
2021-05-27,G (Feb 2022),24.3500,24.3500,23.9300,23.9300,23.90,-0.35,4,0,30
2021-05-28,G (Feb 2022),23.9000,23.9000,23.6500,23.8100,23.825,-0.075,31,0,61
2021-06-01,G (Feb 2022),23.9000,24.1500,23.8000,24.1500,24.10,0.275,146,0,141
2021-06-02,G (Feb 2022),24.2500,24.4000,24.1500,24.2500,24.45,0.35,4,0,141
2021-06-03,G (Feb 2022),24.5500,24.7500,24.5000,24.7500,24.55,0.10,20,0,161
2021-06-04,G (Feb 2022),24.4500,24.5500,24.1000,24.2000,24.175,-0.375,24,0,174
2021-06-07,G (Feb 2022),24.2000,24.2500,24.2000,24.2000,24.10,-0.075,10,0,174
2021-06-08,G (Feb 2022),24.0500,24.1500,23.9500,24.0500,24.05,-0.05,49,0,196
2021-06-09,G (Feb 2022),24.0500,24.3000,24.0000,24.2000,24.30,0.25,53,0,214
2021-06-10,G (Feb 2022),24.2500,24.2500,23.4500,23.5800,23.60,-0.70,26,0,225
2021-06-11,G (Feb 2022),23.3500,23.5000,23.2000,23.2500,23.275,-0.325,28,0,253
2021-06-14,G (Feb 2022),23.3500,23.7500,23.2500,23.7000,23.525,0.250,65,0,306
2021-06-15,G (Feb 2022),23.5500,23.7000,23.4000,23.7000,23.70,0.175,9,0,300
2021-06-16,G (Feb 2022),23.7000,23.9500,23.6000,23.7000,23.90,0.20,59,0,300
2021-06-17,G (Feb 2022),24.0000,24.0500,23.5500,23.7500,23.675,-0.225,36,0,326
2021-06-18,G (Feb 2022),24.2000,24.3000,23.8000,24.1500,24.275,0.600,98,0,361
2021-06-21,G (Feb 2022),24.3500,24.4000,23.7500,23.9000,23.90,-0.375,321,0,532
2021-06-22,G (Feb 2022),24.0500,24.0500,23.6500,23.6500,23.70,-0.20,99,0,525
2021-06-23,G (Feb 2022),23.5100,23.6000,23.3700,23.5500,23.55,-0.15,97,0,563
2021-06-24,G (Feb 2022),23.3000,23.4500,23.2500,23.4400,23.425,-0.125,155,0,615
2021-06-25,G (Feb 2022),23.4200,23.5000,23.3700,23.4000,23.45,0.025,145,0,627
2021-06-28,G (Feb 2022),23.3500,23.5500,23.2300,23.3200,23.35,-0.10,122,0,635
2021-06-29,G (Feb 2022),23.2400,23.6000,23.1700,23.4500,23.60,0.25,95,0,626
2021-06-30,G (Feb 2022),23.6500,23.7500,23.4000,23.6500,23.60,0.00,185,0,663
2021-07-01,G (Feb 2022),23.4500,23.7000,23.4300,23.5000,23.525,-0.075,126,0,626
2021-07-02,G (Feb 2022),23.2500,23.5100,23.1000,23.3500,23.50,-0.025,158,0,659
2021-07-06,G (Feb 2022),23.6000,23.9000,23.4000,23.6700,23.65,0.15,108,0,681
2021-07-07,G (Feb 2022),23.6500,24.2000,23.6000,23.7700,23.775,0.125,542,0,806
2021-07-08,G (Feb 2022),24.1500,24.6100,23.9000,24.1000,24.125,0.350,159,0,812
2021-07-09,G (Feb 2022),23.9000,24.0500,23.5500,23.6500,23.775,-0.350,175,0,862
2021-07-12,G (Feb 2022),24.0500,24.0500,23.7000,23.8000,23.85,0.075,216,0,897
2021-07-13,G (Feb 2022),23.8200,24.1200,23.6500,24.1000,24.05,0.20,176,0,906
2021-07-14,G (Feb 2022),23.8400,24.2500,23.8000,24.1300,24.10,0.05,192,0,957
2021-07-15,G (Feb 2022),24.3500,24.6000,24.1200,24.1500,24.15,0.05,854,0,1288
2021-07-16,G (Feb 2022),23.8500,24.4000,23.8500,24.2000,24.20,0.05,202,0,1325
2021-07-19,G (Feb 2022),24.4400,25.2000,24.2500,24.9000,24.90,0.70,957,0,1279
2021-07-20,G (Feb 2022),24.5000,24.9000,24.3500,24.7600,24.80,-0.10,403,0,1379
2021-07-21,G (Feb 2022),24.4500,24.7500,24.2100,24.2400,24.325,-0.475,1427,0,1793
2021-07-22,G (Feb 2022),24.1500,24.3000,24.0700,24.1500,24.2733,-0.0517,932,0,2004
2021-07-23,G (Feb 2022),24.0500,24.2500,23.9500,24.2500,24.20,-0.0733,1251,0,2337
2021-07-26,G (Feb 2022),24.2500,24.5000,24.1500,24.2000,24.3313,0.1313,878,0,2578
2021-07-27,G (Feb 2022),24.2500,24.9200,24.2500,24.6200,24.5611,0.2298,1373,0,3137
2021-07-28,G (Feb 2022),24.5500,24.7000,24.2500,24.4500,24.3571,-0.2040,1007,0,3309
2021-07-29,G (Feb 2022),24.4000,24.5000,24.1000,24.3500,24.2061,-0.1510,1379,0,3622
2021-07-30,G (Feb 2022),24.3500,24.7000,24.2000,24.4000,24.50,0.2939,1076,0,3743
2021-08-02,G (Feb 2022),24.2800,24.9000,24.1000,24.8000,24.90,0.40,1183,0,4575
2021-08-03,G (Feb 2022),24.8100,24.9700,24.4000,24.5000,24.50,-0.40,917,0,4331
2021-08-04,G (Feb 2022),24.5500,24.6200,24.3000,24.4700,24.5042,0.0042,1158,0,4913
2021-08-05,G (Feb 2022),24.4500,24.5000,24.1500,24.2000,24.1962,-0.3080,1043,0,5040
2021-08-06,G (Feb 2022),24.2500,24.2500,23.9200,23.9500,23.975,-0.2212,869,0,5100
2021-08-09,G (Feb 2022),24.1500,24.2000,23.9500,24.1000,24.1083,0.1333,959,0,5285
2021-08-10,G (Feb 2022),24.0500,24.1200,23.8000,24.0200,24.0212,-0.0871,959,0,5392
