Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2021-06-21,H (Mar 2022),0.0000,24.0000,24.2500,0.0000,24.20,0,0,0,0
2021-06-22,H (Mar 2022),24.0000,24.0500,23.8000,23.8600,23.90,-0.30,18,0,18
2021-06-23,H (Mar 2022),0.0000,23.7500,23.8000,0.0000,23.70,-0.20,0,0,18
2021-06-24,H (Mar 2022),23.5000,23.5000,23.4000,23.4500,23.475,-0.225,16,0,34
2021-06-25,H (Mar 2022),23.5500,23.6500,23.5000,23.6500,23.50,0.025,5,0,39
2021-06-28,H (Mar 2022),23.4000,23.5500,23.3500,23.3800,23.40,-0.10,5,0,43
2021-06-29,H (Mar 2022),23.4000,23.6500,23.4000,23.6000,23.70,0.30,8,0,45
2021-06-30,H (Mar 2022),24.0000,24.0000,23.7000,24.0000,23.80,0.10,1,0,45
2021-07-01,H (Mar 2022),0.0000,23.6500,23.5500,0.0000,23.65,-0.15,0,0,45
2021-07-02,H (Mar 2022),23.4000,23.5500,23.3500,23.5500,23.525,-0.125,26,0,71
2021-07-06,H (Mar 2022),23.5000,23.9500,23.4000,23.9000,23.825,0.300,40,0,110
2021-07-07,H (Mar 2022),23.8600,24.0500,23.8000,23.8600,23.875,0.050,3,0,113
2021-07-08,H (Mar 2022),24.4000,24.8000,24.0300,24.1800,24.30,0.425,90,0,77
2021-07-09,H (Mar 2022),24.0000,24.0000,23.7000,23.8500,23.875,-0.425,108,0,159
2021-07-12,H (Mar 2022),24.2800,24.2800,23.8200,24.1000,24.025,0.150,89,0,211
2021-07-13,H (Mar 2022),23.9500,24.3600,23.8500,24.2100,24.375,0.350,94,0,173
2021-07-14,H (Mar 2022),24.0500,24.5000,24.0000,24.2500,24.30,-0.075,65,0,184
2021-07-15,H (Mar 2022),24.7000,24.7500,24.3700,24.3700,24.275,-0.025,47,0,198
2021-07-16,H (Mar 2022),24.2000,24.6500,24.1000,24.3500,24.45,0.175,31,0,225
2021-07-19,H (Mar 2022),24.7500,25.5000,24.7000,25.2000,24.90,0.45,77,0,224
2021-07-20,H (Mar 2022),24.7000,25.0500,24.5500,24.9000,25.00,0.10,33,0,224
2021-07-21,H (Mar 2022),25.0000,25.0000,24.4000,24.4000,24.50,-0.50,101,0,291
2021-07-22,H (Mar 2022),24.3000,24.6500,24.2500,24.5000,24.475,-0.025,140,0,375
2021-07-23,H (Mar 2022),24.3000,24.4500,24.2000,24.4500,24.50,0.025,69,0,403
2021-07-26,H (Mar 2022),24.5500,24.7000,24.4500,24.5000,24.55,0.05,54,0,437
2021-07-27,H (Mar 2022),24.8500,25.1500,24.5500,24.8500,24.825,0.275,187,0,432
2021-07-28,H (Mar 2022),24.6600,24.8500,24.4500,24.7200,24.55,-0.275,79,0,452
2021-07-29,H (Mar 2022),24.4500,24.6000,24.3000,24.6000,24.475,-0.075,253,0,502
2021-07-30,H (Mar 2022),25.0000,25.0000,24.5600,24.7500,24.75,0.275,140,0,542
2021-08-02,H (Mar 2022),24.5000,25.1500,24.4000,25.0500,25.10,0.35,157,0,559
2021-08-03,H (Mar 2022),24.8400,25.1500,24.6000,24.6500,24.70,-0.40,171,0,604
2021-08-04,H (Mar 2022),24.7900,24.8600,24.5100,24.7500,24.675,-0.025,191,0,585
2021-08-05,H (Mar 2022),24.5600,24.6000,24.4000,24.4000,24.375,-0.300,144,0,649
2021-08-06,H (Mar 2022),24.3000,24.3500,24.2000,24.3500,24.225,-0.150,134,0,660
2021-08-09,H (Mar 2022),24.3000,24.4000,24.2800,24.3100,24.325,0.100,97,0,701
2021-08-10,H (Mar 2022),24.2500,24.3500,24.1000,24.2500,24.275,-0.050,150,0,740
2021-08-11,H (Mar 2022),24.3000,24.3500,24.0000,24.0000,24.025,-0.250,138,0,762
2021-08-12,H (Mar 2022),24.1000,24.1000,23.6900,23.9500,23.95,-0.075,415,0,1247
