Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2021-07-26,J (Apr 2022),0.0000,22.0000,50.1000,0.0000,24.55,0,0,0,0
2021-07-27,J (Apr 2022),0.0000,24.1000,26.0000,0.0000,25.05,0.50,0,0,0
2021-07-28,J (Apr 2022),24.2500,24.2500,24.2500,24.2500,24.75,-0.30,5,0,5
2021-07-29,J (Apr 2022),0.0000,24.5000,24.7000,0.0000,24.45,-0.30,0,0,5
2021-07-30,J (Apr 2022),24.8000,24.8000,24.8000,24.8000,24.75,0.30,1,0,6
2021-08-02,J (Apr 2022),24.8200,24.8200,24.8100,24.8100,24.875,0.125,5,0,11
2021-08-03,J (Apr 2022),24.7500,24.9000,24.7500,24.7500,25.125,0.250,2,0,13
2021-08-04,J (Apr 2022),24.7800,24.7800,24.7600,24.7800,25.10,-0.025,17,0,30
2021-08-05,J (Apr 2022),0.0000,24.3000,24.5000,0.0000,24.375,-0.725,0,0,30
2021-08-06,J (Apr 2022),24.3000,24.4500,24.2000,24.2500,24.175,-0.200,28,0,58
2021-08-09,J (Apr 2022),24.2500,24.3500,24.2500,24.3200,24.425,0.250,4,0,62
2021-08-10,J (Apr 2022),24.4000,24.4000,24.2000,24.2500,25.00,0.575,29,0,86
2021-08-11,J (Apr 2022),24.3000,24.3000,24.1000,24.1500,24.15,-0.85,69,0,153
2021-08-12,J (Apr 2022),23.9500,24.1500,23.9000,23.9000,24.025,-0.125,2,0,152
