Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2021-02-22,X (Nov 2021),0.0000,28.0500,31.7500,0.0000,29.40,0,0,0,0
2021-02-23,X (Nov 2021),0.0000,27.1500,30.9000,0.0000,29.025,-0.375,0,0,0
2021-02-24,X (Nov 2021),28.0800,28.0800,28.0500,28.0500,28.05,-0.975,11,0,11
2021-02-25,X (Nov 2021),28.7100,28.8000,24.3500,28.8000,29.025,0.975,2,0,12
2021-02-26,X (Nov 2021),28.5700,28.6600,28.5000,28.6600,28.40,-0.625,8,0,20
2021-03-01,X (Nov 2021),28.0500,28.0500,28.0500,28.0500,27.55,-0.85,1,0,21
2021-03-02,X (Nov 2021),0.0000,26.5000,30.8000,0.0000,28.65,1.10,0,0,21
2021-03-03,X (Nov 2021),28.1400,28.1400,27.8500,27.8500,28.00,-0.65,2,0,22
2021-03-04,X (Nov 2021),29.1500,29.1500,28.9000,29.1500,28.825,0.825,3,0,25
2021-03-05,X (Nov 2021),28.2500,28.7500,27.7700,28.0900,27.75,-1.075,68,0,91
2021-03-08,X (Nov 2021),27.8000,27.8800,27.6800,27.8800,27.775,0.025,12,0,102
2021-03-09,X (Nov 2021),27.5500,28.1400,27.5500,28.1000,28.10,0.325,33,0,133
2021-03-10,X (Nov 2021),27.8000,27.9500,27.4600,27.9500,27.80,-0.30,24,0,151
2021-03-11,X (Nov 2021),27.8900,27.8900,27.5500,27.6900,27.625,-0.175,42,0,177
2021-03-12,X (Nov 2021),27.9000,27.9500,27.7500,27.8200,27.675,0.050,29,0,196
2021-03-15,X (Nov 2021),27.8800,28.0000,27.5300,27.5300,27.625,-0.050,31,0,216
2021-03-16,X (Nov 2021),27.6000,27.6000,27.0500,27.1800,27.15,-0.475,12,0,226
2021-03-17,X (Nov 2021),27.5200,27.6600,26.8000,26.8700,26.85,-0.30,176,0,315
2021-03-18,X (Nov 2021),26.9000,27.0000,26.8000,26.9000,26.925,0.075,53,0,337
2021-03-19,X (Nov 2021),27.1000,27.1800,26.8000,26.8000,26.8444,-0.0806,72,0,384
2021-03-22,X (Nov 2021),27.2000,27.2000,26.1500,26.2000,26.225,-0.6194,205,0,456
2021-03-23,X (Nov 2021),26.2800,26.4000,26.1000,26.1100,26.20,-0.025,315,0,543
2021-03-24,X (Nov 2021),26.1500,26.3000,26.0000,26.1100,26.30,0.10,524,0,981
2021-03-25,X (Nov 2021),26.3300,26.5000,25.8100,25.8500,25.925,-0.375,186,0,968
2021-03-26,X (Nov 2021),25.6800,25.8500,25.3500,25.5500,25.40,-0.525,69,0,986
2021-03-29,X (Nov 2021),25.7000,25.8500,25.3500,25.3500,25.45,0.05,105,0,996
2021-03-30,X (Nov 2021),25.3500,25.4500,24.8200,24.8800,24.85,-0.60,40,0,986
2021-03-31,X (Nov 2021),25.0000,25.0000,24.5500,24.8200,24.80,-0.05,187,0,1019
2021-04-01,X (Nov 2021),24.6500,24.7000,24.4000,24.4500,24.40,-0.40,234,0,1043
2021-04-05,X (Nov 2021),24.3100,24.3500,24.0300,24.0300,24.075,-0.325,267,0,1006
2021-04-06,X (Nov 2021),24.0500,24.1700,23.9200,24.0300,24.00,-0.075,175,0,1022
2021-04-07,X (Nov 2021),24.1800,24.1800,23.7500,23.8000,23.75,-0.25,138,0,1024
2021-04-08,X (Nov 2021),23.6500,23.8900,23.6300,23.8000,23.75,0.00,187,0,1107
2021-04-09,X (Nov 2021),23.8500,24.0700,23.7500,23.9000,23.85,0.10,125,0,1130
2021-04-12,X (Nov 2021),23.9700,24.2000,23.7700,23.8000,23.775,-0.075,326,0,1184
2021-04-13,X (Nov 2021),23.8800,24.0000,23.7700,23.9700,24.00,0.225,203,0,1205
2021-04-14,X (Nov 2021),24.0600,24.2000,23.9500,24.1200,24.20,0.20,339,0,1270
2021-04-15,X (Nov 2021),24.0000,24.1500,23.7500,24.0700,24.00,-0.20,293,0,1212
2021-04-16,X (Nov 2021),24.0500,24.3100,23.9500,24.0000,24.05,0.05,929,0,1587
2021-04-19,X (Nov 2021),24.0600,24.5300,24.0500,24.2700,24.30,0.25,491,0,1762
2021-04-20,X (Nov 2021),24.4400,24.9000,24.3000,24.7500,24.70,0.40,310,0,1860
2021-04-21,X (Nov 2021),24.8500,24.9000,24.2000,24.4000,24.30,-0.40,1168,0,2215
2021-04-22,X (Nov 2021),24.4500,24.9700,24.2000,24.8200,24.90,0.60,1207,0,2460
2021-04-23,X (Nov 2021),24.8000,24.9200,24.6500,24.7500,24.70,-0.20,2051,0,3369
2021-04-26,X (Nov 2021),24.7000,24.7500,24.4500,24.5000,24.60,-0.10,1975,0,3589
2021-04-27,X (Nov 2021),24.5500,24.7700,24.1500,24.1700,24.2451,-0.3549,1919,0,4068
2021-04-28,X (Nov 2021),24.2000,24.2500,24.0200,24.1000,24.25,0.0049,929,0,4302
2021-04-29,X (Nov 2021),24.0000,24.5500,23.9200,24.2100,24.2303,-0.0197,1320,0,4618
2021-04-30,X (Nov 2021),24.2200,24.5000,24.2200,24.4000,24.4988,0.2685,1125,0,4766
2021-05-03,X (Nov 2021),24.4300,24.4500,24.1000,24.1500,24.1824,-0.3164,827,0,4853
2021-05-04,X (Nov 2021),24.1000,24.8500,24.1000,24.5500,24.45,0.2676,1983,0,5010
2021-05-05,X (Nov 2021),24.4600,24.5000,24.0500,24.2000,24.15,-0.30,1495,0,5237
2021-05-06,X (Nov 2021),24.2000,24.4000,24.0400,24.2000,24.125,-0.025,1781,0,5357
2021-05-07,X (Nov 2021),24.2500,24.2700,23.6500,23.7000,23.725,-0.400,1146,0,5541
2021-05-10,X (Nov 2021),23.6700,24.1500,23.4200,24.1000,24.10,0.375,1341,0,5595
2021-05-11,X (Nov 2021),24.1000,24.9200,24.0500,24.9000,24.80,0.70,2997,0,6078
2021-05-12,X (Nov 2021),24.8900,26.3700,24.8000,26.2000,26.155,1.355,4397,0,7607
2021-05-13,X (Nov 2021),26.0000,26.2000,24.8000,25.2500,25.04,-1.115,2655,0,7161
2021-05-14,X (Nov 2021),25.2000,25.2500,23.6900,23.7900,23.8489,-1.1911,2920,0,7140
2021-05-17,X (Nov 2021),23.7700,24.9000,23.7500,24.2700,24.5075,0.6586,6436,0,8491
2021-05-18,X (Nov 2021),24.3000,25.1000,24.0500,25.0000,25.03,0.5225,3468,0,8167
2021-05-19,X (Nov 2021),25.0500,26.2200,24.9500,25.3800,25.1674,0.1374,5471,0,8438
2021-05-20,X (Nov 2021),25.4000,25.5000,24.5700,24.7000,24.7077,-0.4597,2683,0,8732
2021-05-21,X (Nov 2021),24.7000,24.7300,24.3700,24.5600,24.60,-0.1077,2485,0,9086
2021-05-24,X (Nov 2021),24.6500,24.6500,23.8500,23.9600,24.0047,-0.5953,2181,0,9566
2021-05-25,X (Nov 2021),23.9700,24.3000,23.8900,24.1300,24.20,0.1953,1896,0,10108
2021-05-26,X (Nov 2021),24.1000,24.1000,23.6000,23.6800,23.70,-0.50,2189,0,10509
2021-05-27,X (Nov 2021),23.7500,23.9000,23.1500,23.1700,23.2259,-0.4741,3260,0,11156
2021-05-28,X (Nov 2021),23.1500,23.4200,23.0000,23.3200,23.40,0.1741,2114,0,11264
2021-06-01,X (Nov 2021),23.3500,23.5500,23.1100,23.3500,23.45,0.05,2909,0,11525
2021-06-02,X (Nov 2021),23.2500,23.7000,23.1800,23.6000,23.5964,0.1464,2757,0,11626
2021-06-03,X (Nov 2021),23.6000,23.9500,23.5700,23.8000,23.8026,0.2062,1749,0,11444
2021-06-04,X (Nov 2021),23.7800,23.9000,23.2000,23.3500,23.2259,-0.5767,2550,0,11403
2021-06-07,X (Nov 2021),23.3200,23.4600,23.0300,23.0500,23.0854,-0.1405,2458,0,11327
2021-06-08,X (Nov 2021),23.0700,23.3000,22.8000,23.1000,23.0034,-0.0820,3635,0,11337
2021-06-09,X (Nov 2021),23.1000,23.3500,23.0000,23.2000,23.2021,0.1987,2936,0,11283
2021-06-10,X (Nov 2021),23.1900,23.3500,22.3000,22.4500,22.3579,-0.8442,4101,0,11196
2021-06-11,X (Nov 2021),22.4500,22.4500,22.0000,22.1500,22.1669,-0.1910,3417,0,11134
2021-06-14,X (Nov 2021),22.1500,22.5200,22.0600,22.4100,22.2504,0.0835,5604,0,10973
2021-06-15,X (Nov 2021),22.4500,22.6300,22.2400,22.3700,22.4088,0.1584,4773,0,10426
2021-06-16,X (Nov 2021),22.4000,22.7900,22.2000,22.6500,22.5843,0.1755,4863,0,10163
2021-06-17,X (Nov 2021),22.7500,22.9500,22.2000,22.4000,22.3854,-0.1989,4501,0,9860
2021-06-18,X (Nov 2021),22.3800,23.3900,22.3100,23.2500,23.2239,0.8385,7233,0,11850
2021-06-21,X (Nov 2021),23.2000,23.6500,22.5000,22.8500,22.6625,-0.5614,5221,0,11440
2021-06-22,X (Nov 2021),22.8500,23.0000,22.2000,22.2800,22.4008,-0.2617,5394,0,11289
2021-06-23,X (Nov 2021),22.2500,22.3100,21.9600,22.1000,22.20,-0.2008,5197,0,12115
2021-06-24,X (Nov 2021),22.1000,22.1000,21.7600,21.9200,21.95,-0.25,3005,0,12700
2021-06-25,X (Nov 2021),21.9300,22.1200,21.8700,21.9000,22.00,0.05,5634,0,13597
2021-06-28,X (Nov 2021),21.8200,22.1000,21.7200,21.9000,21.9496,-0.0504,3147,0,13961
2021-06-29,X (Nov 2021),21.9000,22.2200,21.7300,22.0800,22.20,0.2504,4280,0,15245
2021-06-30,X (Nov 2021),22.0500,22.4000,22.0200,22.2500,22.259,0.059,4798,0,16439
2021-07-01,X (Nov 2021),22.2100,22.3000,22.0500,22.1200,22.1465,-0.1125,4178,0,16680
2021-07-02,X (Nov 2021),22.1200,22.1500,21.6200,22.1000,22.0965,-0.0500,4668,0,17031
2021-07-06,X (Nov 2021),22.1000,22.5700,21.9500,22.2500,22.2325,0.1360,8546,0,17356
