Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2021-03-22,Z (Dec 2021),26.6300,26.6300,25.7400,25.7400,25.625,0,86,0,82
2021-03-23,Z (Dec 2021),25.8800,25.8800,25.6700,25.6900,25.65,0.025,165,0,242
2021-03-24,Z (Dec 2021),25.6400,25.6900,25.0000,25.6300,25.60,-0.05,19,0,261
2021-03-25,Z (Dec 2021),25.7800,25.9000,25.3200,25.3900,25.35,-0.25,75,0,332
2021-03-26,Z (Dec 2021),25.1800,25.3500,24.8400,24.9800,24.95,-0.40,38,0,359
2021-03-29,Z (Dec 2021),25.2500,25.3500,25.1000,25.3500,25.00,0.05,15,0,373
2021-03-30,Z (Dec 2021),24.5000,24.8500,24.5000,24.5000,24.50,-0.50,5,0,378
2021-03-31,Z (Dec 2021),24.7000,24.7000,24.2500,24.4300,24.30,-0.20,39,0,401
2021-04-01,Z (Dec 2021),24.3600,24.3600,24.1500,24.1500,24.20,-0.10,58,0,457
2021-04-05,Z (Dec 2021),24.0300,24.0500,23.7500,23.7500,23.775,-0.425,89,0,528
2021-04-06,Z (Dec 2021),23.7000,23.7700,23.6700,23.7700,23.775,0.000,41,0,558
2021-04-07,Z (Dec 2021),23.9300,23.9300,23.4500,23.4500,23.45,-0.325,68,0,619
2021-04-08,Z (Dec 2021),23.3900,23.5000,23.3400,23.3500,23.40,-0.05,22,0,639
2021-04-09,Z (Dec 2021),23.7900,23.7900,23.4900,23.5500,23.50,0.10,34,0,661
2021-04-12,Z (Dec 2021),23.7500,23.7500,23.4000,23.4500,23.45,-0.05,77,0,738
2021-04-13,Z (Dec 2021),23.5000,23.5500,23.3800,23.5500,23.525,0.075,44,0,775
2021-04-14,Z (Dec 2021),23.6500,23.6500,23.5500,23.6200,23.65,0.125,70,0,825
2021-04-15,Z (Dec 2021),23.7200,23.7200,23.3500,23.5800,23.50,-0.15,211,0,961
2021-04-16,Z (Dec 2021),23.6900,23.7500,23.4800,23.5700,23.55,0.05,105,0,1031
2021-04-19,Z (Dec 2021),23.5700,24.0000,23.5700,23.8200,23.85,0.30,141,0,1118
2021-04-20,Z (Dec 2021),24.0000,24.3000,23.7500,24.2000,24.20,0.35,84,0,1163
2021-04-21,Z (Dec 2021),24.2500,24.2500,23.7400,23.8500,23.825,-0.375,148,0,1267
2021-04-22,Z (Dec 2021),23.8000,24.4500,23.7000,24.3500,24.375,0.550,286,0,1408
2021-04-23,Z (Dec 2021),24.3500,24.4400,24.2000,24.2500,24.275,-0.100,326,0,1547
2021-04-26,Z (Dec 2021),24.2000,24.3000,24.0500,24.1500,24.125,-0.150,568,0,1824
2021-04-27,Z (Dec 2021),24.1000,24.3000,23.7000,23.7300,23.775,-0.350,800,0,2079
2021-04-28,Z (Dec 2021),23.6600,23.7600,23.5500,23.6500,23.75,-0.025,334,0,2114
2021-04-29,Z (Dec 2021),23.5500,24.0500,23.5500,23.7500,23.725,-0.025,323,0,2182
2021-04-30,Z (Dec 2021),23.9500,24.0200,23.7500,23.9000,23.975,0.250,154,0,2215
2021-05-03,Z (Dec 2021),23.8000,24.0000,23.7000,23.7500,23.75,-0.225,192,0,2206
2021-05-04,Z (Dec 2021),23.8000,24.3500,23.7000,24.0000,24.00,0.25,277,0,2332
2021-05-05,Z (Dec 2021),24.1000,24.1000,23.6000,23.8000,23.775,-0.225,272,0,2459
2021-05-06,Z (Dec 2021),23.6500,23.9500,23.6000,23.7500,23.725,-0.050,406,0,2497
2021-05-07,Z (Dec 2021),23.7500,23.8000,23.2500,23.2500,23.35,-0.375,395,0,2700
2021-05-10,Z (Dec 2021),23.3000,23.7000,23.0500,23.6500,23.65,0.30,379,0,2721
2021-05-11,Z (Dec 2021),23.8700,24.4000,23.6500,24.3500,24.275,0.625,818,0,3009
2021-05-12,Z (Dec 2021),24.4000,25.7500,24.3000,25.5400,25.60,1.325,1078,0,3340
2021-05-13,Z (Dec 2021),25.3100,25.5500,24.3400,24.8500,24.50,-1.10,863,0,3434
